Word,Frequency,Line Number,Line Content,Religious,Emotion-Related
hope,4,929,I hope þat may hym here,0,1
hope,4,2303,I hope þat þi hert ar?e wyth þyn awen seluen.',0,1
hopes,1,395,"?at þou schal seche me þiself, where-so þou hopes",0,1
ioylez,1,543,Mony ioylez for þat ientyle iapez þer maden.,0,1
jesus,1,777,"Jesus and sayn Gilyan, þat gentyle ar boþe,",1,0
joye,3,913,And alle þe men in þat mote maden much joye,0,1
joye,3,1682,"Make we mery quyl we may and mynne vpon joye,",0,1
joye,3,1763,Wi?t wallande joye warmed his hert.,0,1
joyfnes,1,86,"He watz so joly of his joyfnes, and sumquat childgered:",0,1
luf,16,541,"Al for luf of þat lede in longynge þay were,",0,1
luf,16,1089,"?e lorde let for luf lotez so myry,",1,1
luf,16,1285,?e lasse luf in his lode for lur þat he so?t,0,1
luf,16,1514,"Is þe lel layk of luf, þe lettrure of armes;",0,1
luf,16,1517,"How ledes for her lele luf hor lyuez han auntered,",0,1
luf,16,1525,"?at euer longed to luf, lasse ne more;",0,1
luf,16,1734,"Bot þe lady for luf let not to slepe,",0,1
luf,16,1773,"Oþer lach þer hir luf, oþer lodly refuse.",0,1
luf,16,1781,"?if ?e luf not þat lyf þat ?e lye nexte,",0,1
luf,16,1803,"?e leuest þing for þy luf þat I in londe welde,",0,1
luf,16,1811,"?at mislykez me, ladé, for luf at þis tyme,",0,1
luf,16,1894,"Now hym lenge in þat lee, þer luf hym bityde!",0,1
luf,16,1928,Among þe ladies for luf he ladde much ioye;,0,1
luf,16,2056,?e leue lady on lyue luf hir bityde;,0,1
luf,16,2423,"To luf hom wel, and leue hem not, a leude þat couþe.",0,1
luf,16,2499,"?e luf of þe ladi, þe lace at þe last.",0,1
lufly,6,433,"La?t to his lufly hed, and lyft hit vp sone;",0,1
lufly,6,596,Lachez lufly his leue at lordez and ladyez;,1,1
lufly,6,871,"Lowande and lufly alle his lymmez vnder,",0,1
lufly,6,1005,"?e lorde lufly her by lent, as I trowe;",1,1
lufly,6,1207,Ful lufly con ho lete,0,1
lufly,6,1607,To vnlace þis bor lufly bigynnez.,0,1
luflych,11,38,"With mony luflych lorde, ledez of þe best,",1,1
luflych,11,254,"Li?t luflych adoun and lenge, I þe praye,",1,1
luflych,11,576,"His legez lapped in stel with luflych greuez,",0,1
luflych,11,795,Wyth mony luflych loupe þat louked ful clene:,0,1
luflych,11,984,"?e lorde luflych aloft lepez ful ofte,",1,1
luflych,11,1307,Loutez luflych adoun and þe leude kyssez.,0,1
luflych,11,1470,"Whyle oure luflych lede lys in his bedde,",0,1
luflych,11,1481,And wyth a luflych loke ho layde hym þyse wordez:,0,1
luflych,11,1584,"He ly?tes luflych adoun, leuez his corsour,",0,1
luflych,11,1658,And euer oure luflych kny?t þe lady bisyde.,0,1
luflych,11,1758,"?e lady luflych com la?ande swete,",0,1
luflyly,4,369,"And he luflyly hit hym laft, and lyfte vp his honde,",0,1
luflyly,4,2178,"Li?tez doun luflyly, and at a lynde tachez",0,1
luflyly,4,2391,Thenn lo?e þat oþer leude and luflyly sayde:,0,1
luflyly,4,2516,"La?en loude þerat, and luflyly acorden",0,1
lufsum,1,1815,"Quoþ þat lufsum vnder lyne,",0,1
mary,6,740,"To Mary made his mone,",0,1
mary,6,1264,"'Madame,' quoþ þe myry mon, 'Mary yow ?elde,",0,1
masse,6,593,"So harnayst as he watz he herknez his masse,",1,0
masse,6,758,"Of sum herber þer he?ly I my?t here masse,",1,0
masse,6,1136,"Ete a sop hastyly, when he hade herde masse,",1,0
masse,6,1312,"Bo?ez forth, quen he watz boun, blyþely to masse;",1,1
masse,6,1415,"So þat þe mete and þe masse watz metely delyuered,",1,0
masse,6,1559,"Then ruþes hym þe renk and ryses to þe masse,",1,0
masseprest,1,2110,"Monk oþer masseprest, oþer any mon elles,",1,0
mercy,3,841,"'Graunt mercy,' quoþ Gawayn,",1,0
mercy,3,1393,"'Hit is god,' quoþ þe godmon, 'grant mercy þerfore.",1,0
mercy,3,2108,"For he is a mon methles, and mercy non vses,",1,0
mery,5,1682,"Make we mery quyl we may and mynne vpon joye,",0,1
mery,5,1954,?ay maden as mery as any men mo?ten--,0,1
mirthe,1,106,Much mirthe he mas withalle.,0,1
myry,7,1089,"?e lorde let for luf lotez so myry,",1,1
myry,7,1264,"'Madame,' quoþ þe myry mon, 'Mary yow ?elde,",0,1
myry,7,1314,"And made myry al day, til þe mone rysed,",0,1
myry,7,1624,"?e lorde ful lowde with lote and la?ter myry,",1,0
myrþe,3,988,?at most myrþe my?t meue þat Crystenmas whyle--,1,0
pater,1,760,And þerto prestly I pray my pater and aue,1,0
prest,1,1878,"Preuély aproched to a prest, and prayed hym þere",1,0
sykyng,1,756,"And þerfore sykyng he sayde, 'I beseche þe, lorde,",1,0
wroth,5,1661,"?at al forwondered watz þe wy?e, and wroth with hymseluen,
wroth,5,1707,Wre?ande hym ful weterly with a wroth noyse;,1
wroth,5,1906,And woried me þis wyly wyth a wroth noyse.,1
wrothe,1,70,And he þat wan watz not wrothe",0,1
