Word,Frequency,Line Number,Line Content
,,1218,And þus he bourded aȝayn with mony a blyþe laȝter.
,,1234,Þe dor drawen and dit with a derf haspe;
,,1248,To þe plesaunce of your prys--hit were a pure ioye.'
,,1263,Answared to vche a cace.
,,1272,"And I schulde chepen and chose to cheue me a lorde,"
,,1291,"Þenne ho gef hym god day, and wyth a glent laȝed,"
,,1300,"Couth not lyȝtly haf lenged so long wyth a lady,"
,,1301,"Bot he had craued a cosse, bi his courtaysye,"
,,1304,"I schal kysse at your comaundement, as a knyȝt fallez,"
,,1322,"Such a sowme he þer slowe bi þat þe sunne heldet,"
,,1325,And quykly of þe quelled dere a querré þay maked.
,,1332,"Schaued wyth a scharp knyf, and þe schyre knitten;"
,,1339,Haled hem by a lyttel hole to haue hole sydes.
,,1356,And þe corbeles fee þay kest in a greue;
,,1360,Vpon a felle of þe fayre best fede þay þayr houndes
,,1422,"SONE þay calle of a quest in a ker syde,"
,,1424,Wylde wordez hym warp wyth a wrast noyce;
,,1427,Þenne such a glauer ande glam of gedered rachchez
,,1430,"Þen al in a semblé sweyed togeder,"
,,1431,Bitwene a flosche in þat fryth and a foo cragge;
,,1432,"In a knot bi a clyffe, at þe kerre syde,"
,,1465,"Bot þe lorde on a lyȝt horce launces hym after,"
,,1481,And wyth a luflych loke ho layde hym þyse wordez:
,,1492,Þat bicumes vche a knyȝt þat cortaysy vses.'
,,1527,Oghe to a ȝonke þynk ȝern to schewe
,,1539,"And pyne yow with so pouer a mon, as play wyth your knyȝt"
,,1544,"Of þat art, bi þe half, or a hundreth of seche"
,,1546,"Hit were a folé felefolde, my fre, by my trawþe."
,,1570,Bot in þe hast þat he myȝt he to a hole wynnez
,,1571,Of a rasse bi a rokk þer rennez þe boerne.
,,1585,"Braydez out a bryȝt bront and bigly forth strydez,"
,,1598,"A hundreth houndez hym hent,"
,,1606,Þenne a wyȝe þat watz wys vpon wodcraftez
,,1615,And syþen on a stif stange stoutly hem henges.
,,1632,"For suche a brawne of a best, þe bolde burne sayde,"
,,1633,Ne such sydes of a swyn segh he neuer are.
,,1647,"Ȝe ben ryche in a whyle,"
,,1691,After messe a morsel he and his men token;
,,1698,"Hunteres vnhardeled bi a holt syde,"
,,1701,Traylez ofte a traueres bi traunt of her wyles;
,,1702,"A kenet kyres þerof, þe hunt on hym calles;"
,,1704,"Runnen forth in a rabel in his ryȝt fare,"
,,1707,Wreȝande hym ful weterly with a wroth noyse;
,,1710,"At þe last bi a littel dich he lepez ouer a spenne,"
,,1711,"Stelez out ful stilly bi a strothe rande,"
,,1713,"Þenne watz he went, er he wyst, to a wale tryster,"
,,1714,"Þer þre þro at a þrich þrat hym at ones,"
,,1722,Suche a sorȝe at þat syȝt þay sette on his hede
,,1737,"In a mery mantyle, mete to þe erþe,"
,,1744,"Wayuez vp a wyndow, and on þe wyȝe callez,"
,,1747,"'A! mon, how may þou slepe,"
,,1760,He welcumez hir worþily with a wale chere.
,,1778,With luf-laȝyng a lyt he layd hym bysyde
,,1783,"Bot if ȝe haf a lemman, a leuer, þat yow lykez better,"
,,1793,"'Þat is a worde,' quoþ þat wyȝt, 'þat worst is of alle,"
,,1808,"A gloue for a garysoun of Gawaynez giftez,"
,,1818,"Ho raȝt hym a riche rynk of red golde werkez,"
,,1819,Wyth a starande ston stondande alofte
,,1831,"Ho laȝt a lace lyȝtly þat leke vmbe hir sydez,"
,,1857,Hit were a juel for þe jopardé þat hym iugged were:
,,1862,And he granted and hym gafe with a goud wylle--
,,1878,"Preuély aproched to a prest, and prayed hym þere"
,,1897,"As he sprent ouer a spenne to spye þe schrewe,"
,,1899,"Renaud com richchande þurȝ a roȝe greue,"
,,1900,And alle þe rabel in a res ryȝt at his helez.
,,1904,"A rach rapes hym to, ryȝt er he myȝt,"
,,1906,And woried me þis wyly wyth a wroth noyse.
,,1929,"He were a bleaunt of blwe þat bradde to þe erþe,"
,,1963,"'Of such a selly soiorne as I haf hade here,"
,,1970,"'In god fayþe,' quoþ þe godmon, 'wyth a goud wylle"
,,1972,"Þer asyngnes he a seruaunt to sett hym in þe waye,"
,,1985,"Vche mon þat he mette, he made hem a þonke"
,,1997,And ȝe wyl a whyle be stylle
,,2012,For þere watz lyȝt of a laumpe þat lemed in his chambre;
,,2016,And grayþez me Sir Gawayn vpon a grett wyse.
,,2050,"And hade ben soiourned sauerly and in a siker wyse,"
,,2054,"'Here is a meyny in þis mote þat on menske þenkkez,"
,,2057,"Ȝif þay for charyté cherysen a gest,"
,,2083,"Vch hille hade a hatte, a myst-hakel huge."
,,2089,"Þay were on a hille ful hyȝe,"
,,2097,"And ȝe ar a lede vpon lyue þat I wel louy,"
,,2100,"Þer wonez a wyȝe in þat waste, þe worst vpon erþe,"
,,2108,"For he is a mon methles, and mercy non vses,"
,,2133,"I were a knyȝt kowarde, I myȝt not be excused."
,,2138,Þaȝe he be a sturn knape
,,2148,"Þenne loke a littel on þe launde, on þi lyfte honde,"
,,2163,"Schowuez in bi a schore at a schaȝe syde,"
,,2173,"Saue, a lyttel on a launde, a lawe as hit were;"
,,2174,"A balȝ berȝ bi a bonke þe brymme bysyde,"
,,2175,Bi a forȝ of a flode þat ferked þare;
,,2178,"Liȝtez doun luflyly, and at a lynde tachez"
,,2179,Þe rayne and his riche with a roȝe braunche.
,,2182,"Hit hade a hole on þe ende and on ayþer syde,"
,,2185,"Or a creuisse of an olde cragge, he couþe hit noȝt deme"
,,2197,"Þis is a chapel of meschaunce, þat chekke hit bytyde!"
,,2201,"Þene herde he of þat hyȝe hil, in a harde roche"
,,2202,"Biȝonde þe broke, in a bonk, a wonder breme noyse,"
,,2204,As one vpon a gryndelston hade grounden a syþe.
,,2205,"What! hit wharred and whette, as water at a mulne;"
,,2211,Hit helppez me not a mote.
,,2221,Ȝet he rusched on þat rurde rapely a þrowe.
,,2223,"And syþen he keuerez bi a cragge, and comez of a hole,"
,,2224,"Whyrlande out of a wro wyth a felle weppen,"
,,2225,"A denez ax nwe dyȝt, þe dynt with to ȝelde,"
,,2226,"With a borelych bytte bende by þe halme,"
,,2227,"Fyled in a fylor, fowre fote large--"
,,2235,"Bremly broþe on a bent þat brode watz aboute,"
,,2251,When þou wypped of my hede at a wap one.'
,,2269,And schranke a lytel with þe schulderes for þe scharp yrne.
,,2270,"Þat oþer schalk wyth a schunt þe schene wythhaldez,"
,,2288,"For I schal stonde þe a strok, and start no more"
,,2295,"Bot stode stylle as þe ston, oþer a stubbe auþer"
,,2296,Þat raþeled is in roché grounde with rotez a hundreth.
,,2318,"He sprit forth spenne-fote more þen a spere lenþe,"
,,2321,"Braydez out a bryȝt sworde, and bremely he spekez--"
,,2325,"I haf a stroke in þis sted withoute stryf hent,"
,,2338,"Þenn he melez muryly wyth a much steuen,"
,,2339,And wyth a rynkande rurde he to þe renk sayde:
,,2343,"I hyȝt þe a strok and þou hit hatz, halde þe wel payed;"
,,2345,"Iif I deliuer had bene, a boffet paraunter"
,,2347,"Fyrst I mansed þe muryly with a mynt one,"
,,2368,"Bot here yow lakked a lyttel, sir, and lewté yow wonted;"
,,2371,"Þat oþer stif mon in study stod a gret whyle,"
,,2400,"Among prynces of prys, and þis a pure token"
,,2416,"Bot hit is no ferly þaȝ a fole madde,"
,,2422,"Now þese were wrathed wyth her wyles, hit were a wynne huge"
,,2423,"To luf hom wel, and leue hem not, a leude þat couþe."
,,2488,"Abelef as a bauderyk bounden bi his syde,"
,,2489,"Loken vnder his lyfte arme, þe lace, with a knot,"
,,2490,In tokenyng he watz tane in tech of a faute.
,,2518,"Vche burne of þe broþerhede, a bauderyk schulde haue,"
,,2519,"A bende abelef hym aboute of a bryȝt grene,"
abataylment,1,793,Enbaned vnder þe abataylment in þe best lawe;
abelef,2,2488,"Abelef as a bauderyk bounden bi his syde,"
,,2519,"A bende abelef hym aboute of a bryȝt grene,"
abide,2,1755,And bihoues his buffet abide withoute debate more;
,,2092,Bede his mayster abide.
abides,1,1901,"Þe wyȝe watz war of þe wylde, and warly abides,"
abloy,1,1175,Þe lorde for blys abloy
abode,1,689,"He made non abode,"
abof,7,73,"Þe best burne ay abof, as hit best semed,"
,,112,"Bischop Bawdewyn abof biginez þe table,"
,,153,"A meré mantile abof, mensked withinne"
,,166,"Þat were enbrauded abof, wyth bryddes and flyȝes,"
,,184,"Watz euesed al vmbetorne abof his elbowes,"
,,478,"And hit watz don abof þe dece on doser to henge,"
,,768,"Abof a launde, on a lawe, loken vnder boȝez"
aboue,1,859,"Of bryȝt blaunner aboue, enbrawded bisydez,"
abouen,1,2219,"'Abyde', quoþ on on þe bonke abouen ouer his hede,"
aboute,33,68,Debated busyly aboute þo giftes;
,,75,"Dressed on þe dere des, dubbed al aboute,"
,,189,"Folden in wyth fildore aboute þe fayre grene,"
,,217,"A lace lapped aboute, þat louked at þe hede,"
,,280,Hit arn aboute on þis bench bot berdlez chylder.
,,304,"And runischly his rede yȝen he reled aboute,"
,,331,"And sturnely sturez hit aboute, þat stryke wyth hit þoȝt."
,,351,"Whil mony so bolde yow aboute vpon bench sytten,"
,,440,"He brayde his bulk aboute,"
,,578,Aboute his knez knaged wyth knotez of golde;
,,601,"Þe brydel barred aboute, with bryȝt golde bounden;"
,,623,"He braydez hit by þe bauderyk, aboute þe hals kestes,"
,,769,Of mony borelych bole aboute bi þe diches:
,,771,"Pyched on a prayere, a park al aboute,"
,,952,And heȝly honowred with haþelez aboute.
,,963,"Toreted and treleted with tryflez aboute,"
,,1182,"Vnder couertour ful clere, cortyned aboute;"
,,1428,"Ros, þat þe rocherez rungen aboute;"
,,1640,"He hent þe haþel aboute þe halse, and hendely hym kysses,"
,,1652,Seggez sette and serued in sale al aboute;
,,1654,"Aboute þe fyre vpon flet, and on fele wyse"
,,1740,Trased aboute hir tressour be twenty in clusteres;
,,1853,"While he hit hade hemely halched aboute,"
,,1932,Blande al of blaunner were boþe al aboute.
,,1987,Þat þay wyth busynes had ben aboute hym to serue;
,,2030,"Aboute beten and bounden, enbrauded semez,"
,,2035,"Þenn dressed he his drurye double hym aboute,"
,,2084,"Brokez byled and breke bi bonkkez aboute,"
,,2165,"And þenne he wayted hym aboute, and wylde hit hym þoȝt,"
,,2180,"Þenne he boȝez to þe berȝe, aboute hit he walkez,"
,,2189,Here myȝt aboute mydnyȝt
,,2235,"Bremly broþe on a bent þat brode watz aboute,"
,,2519,"A bende abelef hym aboute of a bryȝt grene,"
aboutte,1,164,"Aboutte hymself and his sadel, vpon silk werkez."
absolucioun,1,1883,And of absolucioun he on þe segge calles;
abyde,1,2219,"'Abyde', quoþ on on þe bonke abouen ouer his hede,"
achaufed,1,886,"And achaufed hym chefly, and þenne his cher mended."
acheue,2,1110,And quat chek so ȝe acheue chaunge me þerforne.
,,1839,To acheue to þe chaunce þat he hade chosen þere.
acheued,2,1084,"Now acheued is my chaunce, I schal at your wylle"
,,1858,"When he acheued to þe chapel his chek for to fech,"
acolen,1,2474,Þay acolen and kyssen and kennen ayþer oþer
acoles,1,1937,"Þen acoles he þe knyȝt and kysses hym þryes,"
acorde,3,1385,'For by acorde of couenaunt ȝe craue hit as your awen.'
,,2382,"To acorde me with couetyse, my kynde to forsake,"
,,2407,"We schal yow wel acorde,"
acorded,3,603,"Þe cropore and þe couertor, acorded wyth þe arsounez;"
,,1409,Þay acorded of þe couenauntez byfore þe court alle;
,,2521,"For þat watz acorded þe renoun of þe Rounde Table,"
acorden,1,2516,"Laȝen loude þerat, and luflyly acorden"
acordez,2,633,"Forþy hit acordez to þis knyȝt and to his cler armez,"
,,1864,Bot to lelly layne fro hir lorde; þe leude hym acordez
adam,1,2418,"For so watz Adam in erde with one bygyled,"
adoun,7,254,"Liȝt luflych adoun and lenge, I þe praye,"
,,506,"Colde clengez adoun, cloudez vplyften,"
,,1307,Loutez luflych adoun and þe leude kyssez.
,,1505,"Þe lady loutez adoun,"
,,1584,"He lyȝtes luflych adoun, leuez his corsour,"
,,2265,"Hade hit dryuen adoun as dreȝ as he atled,"
,,2268,"As hit com glydande adoun on glode hym to schende,"
after,25,171,"And his arsounz al after and his aþel skyrtes,"
,,218,"And so after þe halme halched ful ofte,"
,,255,And quat-so þy wylle is we schal wyt after.'
,,374,Þat þou schal byden þe bur þat he schal bede after.'
,,382,"Þat bede þe þis buffet, quat-so bifallez after,"
,,501,"Forþi þis Ȝol ouerȝede, and þe ȝere after,"
,,502,And vche sesoun serlepes sued after oþer:
,,503,"After Crystenmasse com þe crabbed lentoun,"
,,517,After þe sesoun of somer wyth þe soft wyndez
,,1166,Hunterez wyth hyȝe horne hasted hem after
,,1189,"Þat droȝ þe dor after hir ful dernly and stylle,"
,,1216,"For I ȝelde me ȝederly, and ȝeȝe after grace,"
,,1434,"Þay ferden to þe fyndyng, and frekez hem after;"
,,1449,Þat buskkez after þis bor with bost and wyth noyse
,,1465,"Bot þe lorde on a lyȝt horce launces hym after,"
,,1519,"And after wenged with her walour and voyded her care,"
,,1609,"And syþen rendez him al roghe bi þe rygge after,"
,,1655,"At þe soper and after, mony aþel songez,"
,,1691,After messe a morsel he and his men token;
,,1693,Alle þe haþeles þat on horse schulde helden hym after
,,1743,"Ho comez withinne þe chambre dore, and closes hit hir after,"
,,2095,Þat ȝe han spied and spuryed so specially after;
,,2467,"Þe duches doȝter of Tyntagelle, þat dere Vter after"
,,2522,"And he honoured þat hit hade euermore after,"
,,2527,"After þe segge and þe asaute watz sesed at Troye,"
aftter,1,544,"For aftter mete with mournyng he melez to his eme,"
afyaunce,1,644,And alle his afyaunce vpon folde watz in þe fyue woundez
agayn,2,386,"Þat oþer onswarez agayn,"
,,1639,"Alle my get I schal yow gif agayn, bi my trawþe.'"
age,1,54,"For al watz þis fayre folk in her first age,"
aghlich,1,136,"Þer hales in at þe halle dor an aghlich mayster,"
agrauayn,1,110,"And Agrauayn a la dure mayn on þat oþer syde sittes,"
agreued,1,2372,So agreued for greme he gryed withinne;
al,82,7,Welneȝe of al þe wele in þe west iles.
,,48,Al watz hap vpon heȝe in hallez and chambrez
,,54,"For al watz þis fayre folk in her first age,"
,,75,"Dressed on þe dere des, dubbed al aboute,"
,,85,"Bot Arthure wolde not ete til al were serued,"
,,143,"For of bak and of brest al were his bodi sturne,"
,,151,Ande al grayþed in grene þis gome and his wedes:
,,171,"And his arsounz al after and his aþel skyrtes,"
,,172,Þat euer glemered and glent al of grene stones;
,,184,"Watz euesed al vmbetorne abof his elbowes,"
,,200,So sayd al þat hym syȝe;
,,211,"Þe grayn al of grene stele and of golde hewen,"
,,216,And al bigrauen with grene in gracios werkes;
,,237,"Al studied þat þer stod, and stalked hym nerre"
,,238,Wyth al þe wonder of þe worlde what he worch schulde.
,,242,And al stouned at his steuen and stonstil seten
,,244,As al were slypped vpon slepe so slaked hor lotez
,,246,"I deme hit not al for doute,"
,,248,Bot let hym þat al schulde loute
,,310,'Þat al þe rous rennes of þurȝ ryalmes so mony?
,,315,For al dares for drede withoute dynt schewed!'
,,393,"Clanly al þe couenaunt þat I þe kynge asked,"
,,528,And al grayes þe gres þat grene watz ere;
,,529,"Þenne al rypez and rotez þat ros vpon fyrst,"
,,541,"Al for luf of þat lede in longynge þay were,"
,,567,"He dowellez þer al þat day, and dressez on þe morn,"
,,604,"And al watz rayled on red ryche golde naylez,"
,,605,Þat al glytered and glent as glem of þe sunne.
,,654,"Watz fraunchyse and felaȝschyp forbe al þyng,"
,,674,"Al þat seȝ þat semly syked in hert,"
,,675,"And sayde soþly al same segges til oþer,"
,,708,"And al nykked hym wyth nay, þat neuer in her lyue"
,,738,al one;
,,747,"Þe hasel and þe haȝþorne were harled al samen,"
,,752,"Þurȝ mony misy and myre, mon al hym one,"
,,771,"Pyched on a prayere, a park al aboute,"
,,839,"Þat here is; al is yowre awen, to haue at yowre wylle"
,,848,"Brode, bryȝt, watz his berde, and al beuer-hwed,"
,,1008,And syþen þurȝ al þe sale as hem best semed.
,,1041,Al þe honour is your awen--þe heȝe kyng yow ȝelde!
,,1051,"So kenly fro þe kyngez kourt to kayre al his one,"
,,1169,"Watz al toraced and rent at þe resayt,"
,,1213,Al laȝande þe lady lanced þo bourdez.
,,1235,"And syþen I haue in þis hous hym þat al lykez,"
,,1250,"'Þe prys and þe prowes þat plesez al oþer,"
,,1258,"I haf hit holly in my honde þat al desyres,"
,,1270,"For were I worth al þe wone of wymmen alyue,"
,,1271,"And al þe wele of þe worlde were in my honde,"
,,1314,"And made myry al day, til þe mone rysed,"
,,1347,"And heuen hit vp al hole, and hwen hit of þere,"
,,1350,Bi þe byȝt al of þe þyȝes
,,1366,Bi þat þe daylyȝt watz done þe douthe watz al wonen
,,1377,"And al godly in gomen Gawayn he called,"
,,1384,"'And al I gif yow, Gawayn,' quoþ þe gome þenne,"
,,1430,"Þen al in a semblé sweyed togeder,"
,,1579,Þat al þuȝt þenne ful loþe
,,1609,"And syþen rendez him al roghe bi þe rygge after,"
,,1614,"And ȝet hem halchez al hole þe haluez togeder,"
,,1652,Seggez sette and serued in sale al aboute;
,,1657,"With al þe manerly merþe þat mon may of telle,"
,,1661,"Þat al forwondered watz þe wyȝe, and wroth with hymseluen,"
,,1663,"Bot dalt with hir al in daynté, how-se-euer þe dede turned"
,,1688,Ful stille and softe al niȝt;
,,1715,al graye.
,,1741,"Hir þryuen face and hir þrote þrowen al naked,"
,,1765,"Þat al watz blis and bonchef þat breke hem bitwene,"
,,1932,Blande al of blaunner were boþe al aboute.
,,1934,"And al with gomen he hym gret, and goudly he sayde,"
,,1944,"For I haf hunted al þis day, and noȝt haf I geten"
,,1971,Al þat euer I yow hyȝt halde schal I redé.'
,,2021,"And al watz fresch as vpon fyrst, and he watz fayn þenne"
,,2157,al one.
,,2184,"And al watz holȝ inwith, nobot an olde caue,"
,,2220,'And þou schal haf al in hast þat I þe hyȝt ones.'
,,2258,"And schewed þat schyre al bare,"
,,2351,"Al þe gayne þow me gef, as god mon schulde."
,,2374,Þat al he schrank for schome þat þe schalk talked.
,,2388,Al fawty is my fare;
,,2412,And he ȝelde hit yow ȝare þat ȝarkkez al menskes!
,,2483,"Ofte he herbered in house and ofte al þeroute,"
,,2491,"And þus he commes to þe court, knyȝt al in sounde."
al-hal-day,1,537,Ȝet quyl Al-hal-day with Arþer he lenges;
alce,1,2494,"Þe kyng kyssez þe knyȝt, and þe whene alce,"
alder,3,951,"Þat watz alder þen ho, an auncian hit semed,"
,,975,"Þe alder he haylses, heldande ful lowe,"
,,1318,Þe alder and þe ȝonge;
alder-truest,1,1487,Bi alder-truest token of talk þat I cowþe.'
alderes,1,95,"Of alderes, of armes, of oþer auenturus,"
algate,1,141,"Bot mon most I algate mynn hym to bene,"
all,1,50,"With all þe wele of þe worlde þay woned þer samen,"
alle,79,25,"Bot of alle þat here bult, of Bretaygne kynges,"
,,39,"Rekenly of þe Rounde Table alle þo rich breþer,"
,,45,With alle þe mete and þe mirþe þat men couþe avyse;
,,71,Alle þis mirþe þay maden to þe mete tyme;
,,145,"And alle his fetures folȝande, in forme þat he hade,"
,,161,"And alle his vesture uerayly watz clene verdure,"
,,169,"His molaynes, and alle þe metail anamayld was þenne,"
,,272,"Bot if þou be so bold as alle burnez tellen,"
,,302,"Alle þe heredmen in halle, þe hyȝ and þe loȝe."
,,320,So did alle þat þer were.
,,360,"And if I carp not comlyly, let alle þis cort rych"
,,363,And syþen þay redden alle same
,,402,"And I schal ware alle my wyt to wynne me þeder,"
,,479,"Þer alle men for meruayl myȝt on hit loke,"
,,483,"Of alle dayntyez double, as derrest myȝt falle;"
,,484,"Wyth alle maner of mete and mynstralcie boþe,"
,,557,Alle þis compayny of court com þe kyng nerre
,,568,"Askez erly hys armez, and alle were þay broȝt."
,,585,And alle þe godlych gere þat hym gayn schulde
,,644,And alle his afyaunce vpon folde watz in þe fyue woundez
,,647,"His þro þoȝt watz in þat, þurȝ alle oþer þyngez,"
,,648,Þat alle his forsnes he feng at þe fyue joyez
,,656,"And pité, þat passez alle poyntez, þyse pure fyue"
,,658,"Now alle þese fyue syþez, for soþe, were fetled on þis knyȝt,"
,,670,"And gef hem alle goud day,"
,,700,"Alle þe iles of Anglesay on lyft half he haldez,"
,,834,"Alle hasped in his heȝ wede to halle þay hym wonnen,"
,,870,"Welneȝ to vche haþel, alle on hwes"
,,871,"Lowande and lufly alle his lymmez vnder,"
,,884,"Alle of ermyn in erde, his hode of þe same;"
,,898,"Ful hendely, quen alle þe haþeles rehayted hym at onez,"
,,913,And alle þe men in þat mote maden much joye
,,915,Þat alle prys and prowes and pured þewes
,,917,Byfore alle men vpon molde his mensk is þe most.
,,947,"And of compas and colour and costes, of alle oþer,"
,,1058,"For alle þe londe inwyth Logres, so me oure lorde help!"
,,1083,"'Now I þonk yow þryuandely þurȝ alle oþer þynge,"
,,1106,"Gauayn grantez alle þyse,"
,,1131,"Richen hem þe rychest, to ryde alle arayde,"
,,1228,Þat alle þe worlde worchipez quere-so ȝe ride;
,,1230,"With lordez, wyth ladyes, with alle þat lyf bere."
,,1330,Two fyngeres þay fonde of þe fowlest of alle.
,,1344,Alle þe rymez by þe rybbez radly þay lance;
,,1346,"Euenden to þe haunche, þat henged alle samen,"
,,1373,"Thenne comaunded þe lorde in þat sale to samen alle þe meny,"
,,1375,"Bifore alle þe folk on þe flette, frekez he beddez"
,,1409,Þay acorded of þe couenauntez byfore þe court alle;
,,1513,"And of alle cheualry to chose, þe chef þyng alosed"
,,1529,"Why! ar ȝe lewed, þat alle þe los weldez?"
,,1561,"Þe lede with þe ladyez layked alle day,"
,,1575,Alle þe burnez so bolde þat hym by stoden
,,1639,"Alle my get I schal yow gif agayn, bi my trawþe.'"
,,1643,"Of alle þe couenauntes þat we knyt, syþen I com hider,"
,,1693,Alle þe haþeles þat on horse schulde helden hym after
,,1718,With alle þe wo on lyue
,,1721,"When alle þe mute hade hym met, menged togeder:"
,,1723,As alle þe clamberande clyffes hade clatered on hepes;
,,1779,Alle þe spechez of specialté þat sprange of her mouthe.
,,1782,"Bifore alle þe wyȝez in þe worlde wounded in hert,"
